,lat,lon,city,country_code,city_lat,city_lon,city_temperature,city_humidity,city_windspeed,city_clouds,city_temp_max,date,sunrise
28206,59.98714332831753,9.415506268067844,Kongsberg,NO,59.67,9.65,31.93,64,4.7,75,33.8,1522776000,1522730369
28273,46.83031957665759,-8.749647250774345,Naron,ES,43.52,-8.15,53.6,66,19.46,40,53.6,1522776600,1522735786
28282,60.27958373900762,53.09247632785721,Rudnichnyy,RU,59.7,60.29,37.46,68,8.63,56,37.46,1522777765,1522718237
28304,36.622140987217534,-81.38110771732187,Boone,US,36.22,-81.67,65.55,42,6.93,1,69.8,1522776000,1522753735
28306,1.822254819590654,30.913758486570345,Kigorobya,UG,1.62,31.31,76.07,100,8.63,68,76.07,1522777521,1522727636
28312,43.22480052885865,-64.10478327776285,Liverpool,CA,44.04,-64.71,38.18,89,9.86,20,38.18,1522777765,1522749318
28338,27.771611437319848,70.62121301845244,Sadiqabad,PK,28.31,70.13,79.94,50,4.27,8,79.94,1522777774,1522717617
28347,-29.15203511928894,-71.65713727622895,La Serena,CL,-29.9,-71.25,66.2,63,12.75,0,66.2,1522774800,1522753036
28348,-18.87232983383882,-62.43019842899621,Abapo,BO,-18.83,-63.47,70.94,85,2.04,76,70.94,1522777765,1522750869
28362,36.6419417038816,10.638867337914277,Manzil Bu Zalafah,TN,36.68,10.58,62.33,72,12.75,20,64.4,1522776600,1522731599
28384,7.5760743635916015,75.91692297661393,Thiruvananthapuram,IN,8.48,76.92,82.4,78,3.36,20,82.4,1522776600,1522716530
28385,-2.918098084515293,-67.92985241264256,Santo Antonio Do Ica,BR,-3.1,-67.94,83.54,82,3.71,88,83.54,1522777775,1522751562
28396,7.875794587230558,-81.81081193580081,Remedios,PA,8.23,-81.83,91.4,43,8.05,20,91.4,1522774800,1522754622
28464,38.70626477991678,-5.370791076370878,Penarroya-Pueblonuevo,ES,38.3,-5.27,64.4,55,18.34,40,64.4,1522776600,1522735333
28471,51.709143145993096,26.463602482949412,Dubrovytsya,UA,51.57,26.57,48.35,82,9.98,20,48.35,1522777767,1522726999
28476,23.28096641964609,71.57939454997356,Dhrangadhra,IN,22.99,71.47,83.45,30,11.21,0,83.45,1522777767,1522717457
28487,59.69815830870152,27.723999912504027,Sillamae,EE,59.4,27.75,31.16,80,11.32,8,31.16,1522777767,1522726062
28491,-28.216615617334753,-51.14926469633165,Estrela,BR,-29.5,-51.96,75.62,77,3.15,20,75.62,1522777768,1522748393
28518,39.587229142912605,-81.09631210697894,Marietta,US,33.95,-84.55,73.4,65,10.29,90,77,1522776900,1522754513
28525,-28.100379578268786,-53.20737427425528,Palmeira Das Missoes,BR,-27.9,-53.31,78.05,77,4.61,0,78.05,1522777768,1522748671
28540,41.880444421635985,28.81006530840442,Durusu,TR,37.53,40.83,57.85,41,3.36,20,59,1522776000,1522724312
28557,47.60441631671014,14.548362099007875,Hall,AT,47.6,14.46,55.4,47,12.75,8,55.4,1522776000,1522730149
28565,42.71564856721332,-85.4339297933278,Forest Hills,US,36.07,-86.85,72.48,60,18.34,90,73.4,1522774560,1522754983
28566,19.877286283065246,75.01891070797899,Gangapur,IN,19.7,75.01,76.07,36,6.73,0,76.07,1522777779,1522716701
28586,35.38718383005764,73.57062268913359,Gilgit,PK,35.92,74.31,31.88,99,0.13,68,31.88,1522777779,1522716348
28610,41.55864633205795,36.789670544511765,Carsamba,TR,41.2,36.72,50,66,1.48,40,50,1522774200,1522725140
28627,-23.59986190683108,-55.79084497295249,Capitan Bado,PY,-23.27,-55.53,83.36,66,3.94,0,83.36,1522777771,1522749077
28637,-28.31364666030143,-57.048588842538464,Ayolas,PY,-27.39,-56.84,82.55,70,4.16,48,82.55,1522777780,1522749504
28639,36.38184665891663,49.46790351075097,Alvand,IR,36.19,50.06,59,38,2.24,0,59,1522774800,1522722152
28657,20.07460770766704,-79.07937753144788,Santa Cruz Del Sur,CU,20.71,-78,86.24,62,10.76,36,86.24,1522777771,1522753373
28662,15.195984432836752,36.73660755479122,Teseney,ER,15.11,36.66,78.77,35,5.95,0,78.77,1522777771,1522726022
28672,-28.525237336788592,-56.3530954680819,Sao Borja,BR,-28.66,-56,82.19,75,5.06,12,82.19,1522777772,1522749338
28677,61.51816939969376,41.74317359821768,Ust-Shonosha,RU,61.15,41.34,32.15,91,17.81,88,32.15,1522777781,1522722617
28678,40.34260442996924,18.8463114277191,Melendugno,IT,40.27,18.34,57.13,58,8.05,0,59,1522776000,1522729588
28705,42.84194835664033,38.228713135192976,Shepsi,RU,44.04,39.15,49.61,100,1.92,0,49.61,1522777773,1522724422
28731,4.266202287762582,-6.496463060856357,San-Pedro,CI,4.75,-6.64,83.63,75,11.99,0,83.63,1522777782,1522736667
28763,54.948931997038414,70.44527629320203,Bulaevo,KZ,54.91,70.44,15.41,60,3.27,24,15.41,1522777773,1522716242
28788,-20.518977824888537,27.225551224744862,Kalakamati,BW,-20.59,27.31,71.6,60,4.7,0,71.6,1522774800,1522729122
28811,-6.315744123020778,-78.841804843308,Cutervo,PE,-6.38,-78.82,55.55,93,2.59,92,55.55,1522777774,1522754251
28821,53.67480801095809,80.96974736611682,Krutikha,RU,53.96,81.21,17.03,76,8.97,0,17.03,1522777774,1522713736
28858,-2.1812457176391433,-53.87526916406561,Monte Alegre,BR,-6.07,-35.33,87.8,62,14.99,40,87.8,1522774800,1522743807
28867,42.768015267208995,24.891297136386314,Karlovo,BG,42.64,24.8,59,51,4.7,0,59,1522776600,1522727930
28871,30.836034446899987,76.34865616655696,Khamanon,IN,30.82,76.34,68.42,84,3.04,0,68.42,1522777783,1522716045
28932,58.16101481906941,68.07445131637076,Irtyshskiy,RU,58.33,68.13,27.47,92,9.53,92,27.47,1522777784,1522716497
28936,36.910254760831066,-83.61882316053374,Morristown,US,36.21,-83.29,65.3,72,9.08,1,66.2,1522775700,1522754124
28942,50.9561896241253,15.965628424630609,Zlotoryja,PL,51.13,15.92,60.8,44,2.24,0,60.8,1522776600,1522729581
28949,61.156535766373594,11.137560400704004,Rena,NO,61.13,11.37,25.85,77,4.38,80,25.85,1522777776,1522729796
28951,15.141503089817917,-3.8633362084708267,Mopti,ML,14.49,-4.19,98.48,22,6.29,8,98.48,1522777776,1522735838
28958,61.56228170848996,26.19728820594949,Heinola,FI,61.2,26.03,32,66,6.93,0,32,1522776000,1522726277
28963,22.694914229288145,68.40212567315939,Okha,IN,22.47,69.06,76.34,100,8.52,0,76.34,1522777785,1522718050
28973,0.9691911406034706,33.66710492584035,Pallisa,UG,1.17,33.71,71.3,95,3.94,68,71.3,1522777786,1522727070
28986,-3.854445640094326,-78.53172845274257,Yantzaza,EC,-3.83,-78.76,72.29,82,3.15,12,72.29,1522777777,1522754176
29016,37.88855632767206,-3.452647292222281,Baeza,ES,37.99,-3.47,58.7,55,7.29,0,58.7,1522777777,1522734914
29048,11.701530652143816,37.06097885761572,Bahir Dar,ET,11.59,37.39,57.26,80,0.81,0,57.26,1522777778,1522725937
29069,-13.260535549322668,45.53373983832327,Bandrele,YT,-12.91,45.19,84.2,74,6.93,12,84.2,1522774800,1522724643
29098,55.56872422559533,26.139376770067983,Dukstas,LT,55.53,26.33,39.44,94,5.61,88,39.44,1522777778,1522726760
29114,-25.99068767372185,28.422291309230303,Tembisa,ZA,-26.02,28.2,65.39,82,13.87,20,66.2,1522774800,1522729050
29129,52.26328317202638,89.17194829725105,Tashtyp,RU,52.8,89.89,17.75,73,6.73,24,17.75,1522777778,1522711741
29141,2.9889695052194156,13.253929528495433,Abong Mbang,CM,3.98,13.18,75.17,79,0.69,36,75.17,1522777778,1522731930
29145,47.300768095870495,29.84833460282772,Zatyshshya,UA,47.33,29.87,46.46,67,8.3,24,46.46,1522777779,1522726471
29146,29.47552371633583,89.03576142981547,Gasa,BT,27.91,89.73,10.01,63,0.69,36,10.01,1522777787,1522712929
29153,44.097042817729005,66.02818481480372,Shieli,KZ,44.18,66.74,49.25,45,22.95,76,49.25,1522777779,1522717802
29164,-24.553621534947695,20.696563552475695,Hukuntsi,BW,-23.98,21.76,72.92,38,7.18,80,72.92,1522777779,1522730542
29168,51.49221657924383,39.41624098583341,Podkletnoye,RU,54.66,31.74,29.72,84,9.42,8,29.72,1522777779,1522725534
29172,22.61458079948801,62.91416176655801,Gwadar,PK,25.12,62.33,77.96,87,10.98,0,77.96,1522777788,1522719587
29198,64.10149520067387,20.68151283242878,Umea,SE,63.83,20.26,32,85,2.24,0,32,1522776000,1522727325
29200,51.13616989786689,11.701253188717402,Naumburg,DE,51.15,11.81,63.21,51,3.36,0,66.2,1522776000,1522730564
